,no,id_site,id_request,http_request,method,easylist,privacylist,postData,initiator_url,initiator_type,initiator_function,is_st_party,encoding_form,leakage_method,pii_type,st_domain,thrd_domain,referer,authorization,cookies,referer_extra,cookies_extra
1,1,726,66308.494,https://www.google-analytics.com/collect?v=1&_v=j100&a=215700351&t=event&_s=3&dl=https%3A%2F%2Fquillbot.com%2F&ul=en-us&de=UTF-8&dt=Log%20In%20%7C%20QuillBot%20AI&sd=24-bit&sr=1920x1080&vp=1843x980&je=0&ec=set&ea=userId&el=hattori.mina%40proton.me&_u=SDCAAEABAAAAACAAI~&jid=&gjid=&cid=1960118166.1686866056&tid=UA-108482885-1&_gid=1540964766.1686866056&z=1823128495,GET,False,True,,,other,,False,PLAINTEXT,URI,EMAIL,quillbot.com,google-analytics.com,https://quillbot.com/,,,https://quillbot.com/,
2,2,726,66308.721,https://www.google-analytics.com/collect?v=1&_v=j100&a=299497088&t=event&_s=2&dl=https%3A%2F%2Fquillbot.com%2F&ul=en-us&de=UTF-8&dt=Paraphrasing%20Tool%20-%20QuillBot%20AI&sd=24-bit&sr=1920x1080&vp=1843x980&je=0&ec=set&ea=userId&el=hattori.mina%40proton.me&_u=CDCAAEABAAAAACAAI~&jid=&gjid=&cid=1960118166.1686866056&tid=UA-108482885-1&_gid=1540964766.1686866056&z=1955599219,GET,False,True,,,other,,False,PLAINTEXT,URI,EMAIL,quillbot.com,google-analytics.com,https://quillbot.com/,,,https://quillbot.com/,
11,11,2158,169065.1019,https://www.google-analytics.com/j/collect?v=1&_v=j100&a=386522493&t=pageview&_s=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&ul=en-us&de=UTF-8&dt=Create%20New%20Account%20%7C%20Made-in-China.com&sd=24-bit&sr=1920x1080&vp=1848x980&je=0&_u=QACAAEABAAAAACAAI~&jid=&gjid=&cid=1356184869.1686577298&tid=UA-37452587-1&_gid=1448920777.1686577299&_slc=1&gtm=45He3671n71T39J99&z=299930768,POST,False,True,,https://www.google-analytics.com/analytics.js,script,wd,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google-analytics.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
47,47,6924,1287247.411,https://www.google-analytics.com/j/collect?v=1&_v=j100&a=279995733&t=pageview&_s=1&dl=https%3A%2F%2Fwww.airdroid.com%2Fprogram%2Ftp-signup.html%3Fmail%3Dhattori.mina%40proton.me%26nickname%3DMinamoto%2520Hattori%26server_type%3Dfacebook%26photo%3D&dr=https%3A%2F%2Fwww.facebook.com%2F&ul=en-us&de=UTF-8&dt=AirDroid%20%7C%20Delight%20Your%20Multi-Screen%20Life&sd=24-bit&sr=1920x1080&vp=700x599&je=0&_u=AACAAAABAAAAACAAI~&jid=&gjid=&cid=911681056.1686789288&tid=UA-27177631-1&_gid=444109811.1686789288&_slc=1&z=1755064904,POST,False,True,,https://www.google-analytics.com/analytics.js,script,wd,False,PLAINTEXT,URI,EMAIL,airdroid.com,google-analytics.com,https://www.airdroid.com/,,,https://www.airdroid.com/,
50,50,6924,1287247.420,https://www.google-analytics.com/g/collect?v=2&tid=G-Z3F10WSTGN&gtm=45je36c0&_p=279995733&cid=911681056.1686789288&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.4.0&uaw=0&ngs=1&_s=1&uid=&sid=1686789288&sct=1&seg=1&dl=https%3A%2F%2Fwww.airdroid.com%2Fprogram%2Ftp-signup.html%3Fmail%3Dhattori.mina%40proton.me%26nickname%3DMinamoto%2520Hattori%26server_type%3Dfacebook%26photo%3D&dr=https%3A%2F%2Fwww.facebook.com%2F&dt=AirDroid%20%7C%20Delight%20Your%20Multi-Screen%20Life&en=page_view,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-Z3F10WSTGN&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,airdroid.com,google-analytics.com,https://www.airdroid.com/,,,https://www.airdroid.com/,
59,59,6924,1287247.431,https://www.google-analytics.com/g/collect?v=2&tid=G-Z3F10WSTGN&gtm=45je36c0&_p=279995733&cid=911681056.1686789288&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.4.0&uaw=0&_eu=AEA&ngs=1&_s=2&uid=&sid=1686789288&sct=1&seg=1&dl=https%3A%2F%2Fwww.airdroid.com%2Fprogram%2Ftp-signup.html%3Fmail%3Dhattori.mina%40proton.me%26nickname%3DMinamoto%2520Hattori%26server_type%3Dfacebook%26photo%3D&dr=https%3A%2F%2Fwww.facebook.com%2F&dt=AirDroid%20%7C%20Delight%20Your%20Multi-Screen%20Life&en=scroll&epn.percent_scrolled=90&_et=12,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-Z3F10WSTGN&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,airdroid.com,google-analytics.com,https://www.airdroid.com/,,,https://www.airdroid.com/,
73,73,8111,1043705.1277,https://www.google-analytics.com/g/collect?v=2&tid=G-NKVR5BP7H1&gtm=45je3671&_p=620320281&cid=1099231969.1686575534&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.4.0&uaw=0&ngs=1&_s=1&sid=1686575534&sct=1&seg=1&dl=https%3A%2F%2Fwww.belfasttelegraph.co.uk%2F%3Fgig_events%3Dsocialize.login%252caccounts.login%26errorCode%3D206001%26regToken%3Dst2.s.AcbHzN1N4A.EaKANAc4yAIqcA0fJP4hFEifp2bJV0Xpuf92gBhlgaVsNIz6g58ZjKJwqCuINKF5pEDc4fF4ZnYgmgwhWTpZgaoq31xzhH-6_CCMm9f-jfY.fOmN0W5wqHcRnSd_Zg1snfhWOR5zmoBB115bAPMA9ydzLPCv8O-QbEveM_G320GSpfqJjoE1mgb42ML9RIsSfA.sc3%26provider%3Dfacebook%26UID%3D50fea7196f27407985dedc24f216f864%26UIDSignature%3D2mSazzghs0OPIegWai3V3yFgfSU%253d%26signatureTimestamp%3D1686575639%26isSiteUser%3Dtrue%26isConnected%3Dtrue%26isTempUser%3Dfalse%26isLoggedIn%3Dtrue%26loginProvider%3Dfacebook%26loginProviderUID%3D113652871755339%26isSiteUID%3Dfalse%26nickname%3DMinamoto%2BHattori%26photoURL%3Dhttps%253a%252f%252fgraph.facebook.com%252fv6.0%252f113652871755339%252fpicture%253ftype%253dlarge%26thumbnailURL%3Dhttps%253a%252f%252fgraph.facebook.com%252fv6.0%252f113652871755339%252fpicture%253ftype%253dsquare%26firstName%3DMinamoto%26lastName%3DHattori%26gender%3Du%26email%3Dhattori.mina%2540proton.me%26capabilities%3DLogin%252c%2BFriends%252c%2BPlaces%252c%2BProxiedEmail%26providers%3Dfacebook%26oldestDataUpdatedTimestamp%3D1686575638%26oldestDataAge%3D1&dr=https%3A%2F%2Fwww.facebook.com%2F&dt=BelfastTelegraph.co.uk&en=page_view,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-NKVR5BP7H1&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,belfasttelegraph.co.uk,google-analytics.com,https://www.belfasttelegraph.co.uk/,,,https://www.belfasttelegraph.co.uk/,
80,80,482,36180.602,https://www.google-analytics.com/collect?v=1&_v=j100&a=334272680&t=pageview&_s=1&dl=https%3A%2F%2Fgiphy.com%2Fchannel%2Fminamotohattori%3FloginType%3Dfacebook_signup&dr=https%3A%2F%2Fwww.facebook.com%2F&ul=en-us&de=UTF-8&dt=%2Fchannel%2Fminamotohattori&sd=24-bit&sr=1920x1080&vp=1833x980&je=0&_u=SCCAgAABQAAAAAAC~&jid=&gjid=&cid=312443240.1686854101&uid=48711000&tid=UA-38174542-1&_gid=1679215009.1686854101&gtm=45He36e0n71P5GCKB&cd1=Desktop&cd2=true&cd3=%2Fchannel%2Fminamotohattori&cd6=49624427&cd7=Channel&cd8=48711000&cd10=false&cd11=user&cd26=48711000&z=429562517,GET,False,True,,https://giphy.com/channel/minamotohattori?loginType=facebook_signup,parser,,False,PLAINTEXT,URI,USER_NAME,giphy.com,google-analytics.com,https://giphy.com/,,,https://giphy.com/,
82,82,2158,169065.1019,https://www.google-analytics.com/j/collect?v=1&_v=j100&a=386522493&t=pageview&_s=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&ul=en-us&de=UTF-8&dt=Create%20New%20Account%20%7C%20Made-in-China.com&sd=24-bit&sr=1920x1080&vp=1848x980&je=0&_u=QACAAEABAAAAACAAI~&jid=&gjid=&cid=1356184869.1686577298&tid=UA-37452587-1&_gid=1448920777.1686577299&_slc=1&gtm=45He3671n71T39J99&z=299930768,POST,False,True,,https://www.google-analytics.com/analytics.js,script,wd,False,PLAINTEXT,URI,USER_NAME,made-in-china.com,google-analytics.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
100,100,6924,1287247.411,https://www.google-analytics.com/j/collect?v=1&_v=j100&a=279995733&t=pageview&_s=1&dl=https%3A%2F%2Fwww.airdroid.com%2Fprogram%2Ftp-signup.html%3Fmail%3Dhattori.mina%40proton.me%26nickname%3DMinamoto%2520Hattori%26server_type%3Dfacebook%26photo%3D&dr=https%3A%2F%2Fwww.facebook.com%2F&ul=en-us&de=UTF-8&dt=AirDroid%20%7C%20Delight%20Your%20Multi-Screen%20Life&sd=24-bit&sr=1920x1080&vp=700x599&je=0&_u=AACAAAABAAAAACAAI~&jid=&gjid=&cid=911681056.1686789288&tid=UA-27177631-1&_gid=444109811.1686789288&_slc=1&z=1755064904,POST,False,True,,https://www.google-analytics.com/analytics.js,script,wd,False,PLAINTEXT,URI,USER_NAME,airdroid.com,google-analytics.com,https://www.airdroid.com/,,,https://www.airdroid.com/,
