,no,id_site,id_request,http_request,method,easylist,privacylist,postData,initiator_url,initiator_type,initiator_function,is_st_party,encoding_form,leakage_method,pii_type,st_domain,thrd_domain,referer,authorization,cookies,referer_extra,cookies_extra
12,12,2158,169065.1020,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_eu=BA&_s=1&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com&en=page_view&ep.Page_Hostname=login.made-in-china.com&ep.page_URL=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&ep.previous_page=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&_et=10,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
14,14,2158,169065.1023,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_s=2&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com&en=Performance_timing&ep.Page_Hostname=login.made-in-china.com&epn.page_load_time=1781&epn.Page_download_time=5&epn.dns_time=0&epn.redirect_response_time=2&epn.server_response_time=954&epn.tcp_connect_time=0&epn.dom_interactive_time=1510&epn.content_load_time=1510&_et=1,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
15,15,2158,169065.1024,https://www.google.com/pagead/1p-user-list/731984560/?random=1686577342327&cv=11&fst=1686574800000&bg=ffffff&guid=ON&async=1&gtm=45He3671&u_w=1920&u_h=1080&url=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&ref=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&label=v7ktCOKJmaMBELDlhN0C&frm=0&tiba=Create%20New%20Account%20%7C%20Made-in-China.com&fmt=3&is_vtc=1&cid=CAQSKQBygQiDI2PcQlqPGFXUtCS60EzOW1D3VaEZTp7TfOQMfRvypnB3TCPH&random=3437185819&rmt_tld=0&ipr=y,GET,True,False,,,other,,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
17,17,2158,169065.1026,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_eu=BEA&_s=3&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com&en=scroll&ep.Page_Hostname=login.made-in-china.com&epn.percent_scrolled=90&_et=16&ep.level_scrolled=Scroll_90%25%20&epn.count_scrolled=1,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
18,18,2158,169065.1027,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_s=4&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,iC,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
19,19,2158,169065.1028,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&_gaz=1&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_s=5&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,iC,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
20,20,2158,169065.1046,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=386522493&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dr=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&dt=Create%20New%20Account%20%7C%20Made-in-China.com&_s=6,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,iC,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
23,23,2158,169065.1153,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=487356820&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_eu=BA&_s=1&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fsocialization.do%3Fxcase%3DsuccessFollow%26socialWebsite%3DFacebook%26contactNextUrl%3Dhttps%253A%252F%252Flogin.made-in-china.com%252Fsign-in%252F%253FbaseNextPage%253Dhttps%25253A%25252F%25252Fwww.made-in-china.com%25252F%26firstTimeLogin%3Dtrue&dr=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dt=Sign%20In%20%7C%20Made-in-China.com&en=page_view&ep.Page_Hostname=login.made-in-china.com&ep.page_URL=https%3A%2F%2Flogin.made-in-china.com%2Fsocialization.do%3Fxcase%3DsuccessFollow%26socialWebsite%3DFacebook%26contactNextUrl%3Dhttps%253A%252F%252Flogin.made-in-china.com%252Fsign-in%252F%253FbaseNextPage%253Dhttps%25253A%25252F%25252Fwww.made-in-china.com%25252F%26firstTimeLogin%3Dtrue&ep.previous_page=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&_et=8,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
24,24,2158,169065.1154,https://analytics.google.com/g/collect?v=2&tid=G-VEFCZRQMG4&gtm=45je3671&_p=487356820&cid=1356184869.1686577298&ul=en-us&sr=1920x1080&uaa=x86&uab=64&uafvl=Not.A%252FBrand%3B8.0.0.0%7CChromium%3B114.0.5735.106%7CGoogle%2520Chrome%3B114.0.5735.106&uamb=0&uam=&uap=Linux&uapv=5.15.0&uaw=0&_s=2&sid=1686577298&sct=1&seg=1&dl=https%3A%2F%2Flogin.made-in-china.com%2Fsocialization.do%3Fxcase%3DsuccessFollow%26socialWebsite%3DFacebook%26contactNextUrl%3Dhttps%253A%252F%252Flogin.made-in-china.com%252Fsign-in%252F%253FbaseNextPage%253Dhttps%25253A%25252F%25252Fwww.made-in-china.com%25252F%26firstTimeLogin%3Dtrue&dr=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&dt=Sign%20In%20%7C%20Made-in-China.com&en=Performance_timing&ep.Page_Hostname=login.made-in-china.com&epn.page_load_time=1944&epn.Page_download_time=2&epn.dns_time=0&epn.redirect_response_time=948&epn.server_response_time=302&epn.tcp_connect_time=0&epn.dom_interactive_time=1825&epn.content_load_time=1825&_et=2,POST,False,True,,https://www.googletagmanager.com/gtag/js?id=G-VEFCZRQMG4&l=dataLayer&cx=c,script,Ac,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
25,25,2158,169065.1155,https://www.google.com/pagead/1p-user-list/731984560/?random=1686577363399&cv=11&fst=1686574800000&bg=ffffff&guid=ON&async=1&gtm=45He3671&u_w=1920&u_h=1080&url=https%3A%2F%2Flogin.made-in-china.com%2Fsocialization.do%3Fxcase%3DsuccessFollow%26socialWebsite%3DFacebook%26contactNextUrl%3Dhttps%253A%252F%252Flogin.made-in-china.com%252Fsign-in%252F%253FbaseNextPage%253Dhttps%25253A%25252F%25252Fwww.made-in-china.com%25252F%26firstTimeLogin%3Dtrue&ref=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&label=v7ktCOKJmaMBELDlhN0C&frm=0&tiba=Sign%20In%20%7C%20Made-in-China.com&fmt=3&is_vtc=1&cid=CAQSKQBygQiDcyIADJfktp7Ny9KYsJsauQ5b1FAWy56gcZdALvGa-Ylsnyww&random=3996321134&rmt_tld=0&ipr=y,GET,True,False,,,other,,False,PLAINTEXT,URI,EMAIL,made-in-china.com,google.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,
