no,id_site,id_request,http_request,method,easylist,privacylist,postData,initiator_url,initiator_type,initiator_function,is_st_party,encoding_form,leakage_method,pii_type,st_domain,thrd_domain,referer,authorization,cookies,referer_extra,cookies_extra
2507,1048,46846.65,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?s=24&d=404,HEAD,False,False,,https://mobilecenter.azureedge.net/generated/9b88408fd1c9fde768fa.js,script,anonymous,False,MD5,URI,EMAIL,appcenter.ms,gravatar.com,,,,,
2508,1048,46846.66,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?s=32&d=404,HEAD,False,False,,https://mobilecenter.azureedge.net/generated/9b88408fd1c9fde768fa.js,script,anonymous,False,MD5,URI,EMAIL,appcenter.ms,gravatar.com,,,,,
2509,1235,101031.1042,https://api.rlcdn.com/api/identity/envelope?pid=13694&it=4&iv=4e702dcf4ba0ac495bc6257865c573e25e96c78db7a468b5da1e9a456e6eea66&it=4&iv=0a523328bd88036249c5c96b04491ffe1aaea687&it=4&iv=6fc55d1445a6b8724cb1ad5f5ff66c49,GET,False,True,,https://ats.rlcdn.com/ats.js,script,anonymous,False,MD5,URI,EMAIL,qz.com,rlcdn.com,https://qz.com/,,,https://qz.com/,
2512,2795,227932.1450,https://api.rlcdn.com/api/identity/v2/envelope?pid=115&it=4&iv=4e702dcf4ba0ac495bc6257865c573e25e96c78db7a468b5da1e9a456e6eea66&it=4&iv=0a523328bd88036249c5c96b04491ffe1aaea687&it=4&iv=6fc55d1445a6b8724cb1ad5f5ff66c49,GET,False,True,,https://ats-wrapper.privacymanager.io/ats-modules/f4105e35-d596-4694-b9a4-ed81ae9873a1/ats.js,script,ie,False,MD5,URI,EMAIL,nj.com,rlcdn.com,https://www.nj.com/,,,https://www.nj.com/,
2514,2795,227932.1490,https://api.rlcdn.com/api/identity/v2/envelope?pid=115&it=4&iv=4e702dcf4ba0ac495bc6257865c573e25e96c78db7a468b5da1e9a456e6eea66&it=4&iv=0a523328bd88036249c5c96b04491ffe1aaea687&it=4&iv=6fc55d1445a6b8724cb1ad5f5ff66c49,GET,False,True,,https://ats-wrapper.privacymanager.io/ats-modules/f4105e35-d596-4694-b9a4-ed81ae9873a1/ats.js,script,ie,False,MD5,URI,EMAIL,nj.com,rlcdn.com,https://www.nj.com/,,,https://www.nj.com/,
2527,2936,248600.543,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?d=https%3A%2F%2Fplex.tv%2Favatars%2FCC9476%2F4d%2F1&s=80,GET,False,False,,https://www.plex.tv/?signUp=0,parser,,False,MD5,URI,EMAIL,plex.tv,gravatar.com,https://www.plex.tv/,,,https://www.plex.tv/,
2528,2936,248600.543,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?d=https%3A%2F%2Fplex.tv%2Favatars%2FCC9476%2F4d%2F1&s=80,GET,False,False,,https://www.plex.tv/?signUp=0,parser,,False,MD5,URI,EMAIL,plex.tv,gravatar.com,https://www.plex.tv/,,,https://www.plex.tv/,_gcl_au=1.1.1374226925.1686936575; _rdt_uuid=1686936575627.4ede2725-9530-4d92-b52d-d93ac079e10b; _fbp=fb.1.1686936575772.362587167; _ga=GA1.2.1959758406.1686936575; _gid=GA1.2.1667601671.1686936576; _gat_UA-6111912-29=1; _my-plex_session_32=cFFxTkh6SjhOKzFtYk9qYUpVTGVqd1ppeGlQblJxT2REdEVRZE5WL29TYWM3eXFFMDBUcVRCZFM0b1dtazZJSEh0NGVVdnFDR3VHMEJQdExTZE5Ja0M3V0Nhd2g2MndaZXBtckxTd2daVy81dnYyclljQXZ6RFRlcWJuZmE1ZFJ2ZHNhTnU3SmNCSWZ3VlN0U0twUVRka1doeU5pd0EweW14ODRjVnY0MDRnPS0tUFVqQ0ZxQmY2Q3oxSzhjeURKbldBdz09--3b855174b5c4910a74527bdaa6bc6b17ecbc8955; afUserId=57b7dc34-3bd9-42ec-90c9-4940b9877092-p; AF_SYNC=1686936579810; fbm_1405987639482438=base_domain=.plex.tv; fbsr_1405987639482438=-x_sbi-QILUBrbvuyP_-ank0SST4m61he_3PwgNIlu0.eyJ1c2VyX2lkIjoiMTE4OTI2ODA0NTYxMjc5IiwiY29kZSI6IkFRRFFJWERyNmh4eTEtdS1BSmhvQTdsb2RyN0hYSlA1YU02dnY3QXowWEF6YmFKbnJrTTZYaGE0S2tseUU0OGs1dFFOZDgwcVJ1cW52d1llQUZleVNmMmdHcWp5d1pCRkEyS1BDc3E3emtzSzlROWZHTTBSblNaTWdCYWM2Tkxna2dmU3o5dWRWYmUyY05tYWQyZDRoTkQxX2pNSEFFRjJ0NnlMSGhPZFdkSjVlWjRyQVlwLVF0Z0xrVVVQY3Q0N3pxa1hZQkhVZ2l6NUwtamZtRGRLVGF6V1I5WTB5SnRhdHJIbHJFWWh5aUR4aVZERnVaTnFxaHdZQzZXTG9wd1BmTUJyQzdwZVNfMHFKOUhXVE02elRWTEQ3OXpRb1k1U3FNYmNlQkRVYnlubG04Qm5QcnNDVWtkNzN4QkZTWndNVV9nbXFqb0tBQ1ZTbmRFbTdONFZrRTVLIiwiYWxnb3JpdGhtIjoiSE1BQy1TSEEyNTYiLCJpc3N1ZWRfYXQiOjE2ODY5MzY2MTh9; plex_tv_auth=%7B%22email%22%3A%22hattori.mina%40proton.me%22%2C%22joined_at%22%3A%222023-06-16T17%3A30%3A19Z%22%2C%22username%22%3A%22minamotohattori%22%2C%22thumb%22%3A%22https%3A%2F%2Fplex.tv%2Fusers%2F5ba55990156c80b6%2Favatar%3Fc%3D1686936619%22%2C%22title%22%3A%22Minamoto+Hattori%22%2C%22roles%22%3A%5B%5D%2C%22subscription%22%3A%7B%22active%22%3Afalse%2C%22status%22%3A%22Inactive%22%2C%22plan%22%3Anull%7D%2C%22authentication_token%22%3A%22aVssYmxMx6PTs1bfyoGr%22%7D; _dc_gtm_UA-6111912-29=1; _ga_G6FQWNSENB=GS1.1.1686936575.1.1.1686936620.15.0.0; _ga_WVSCQW4NQZ=GS1.1.1686936575.1.1.1686936620.0.0.0; _plex_tv_auth_sync=eyJob3N0Ijoid3d3LnBsZXgudHYiLCJzaWduZWRJbiI6dHJ1ZX0=
2529,2936,248600.543,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?d=https%3A%2F%2Fplex.tv%2Favatars%2FCC9476%2F4d%2F1&s=80,GET,False,False,,https://www.plex.tv/?signUp=0,parser,,False,MD5,URI,EMAIL,plex.tv,gravatar.com,https://www.plex.tv/,,,https://www.plex.tv/,
2530,2936,248600.1013,https://secure.gravatar.com/avatar/6fc55d1445a6b8724cb1ad5f5ff66c49?d=https%3A%2F%2Fplex.tv%2Favatars%2FCC9476%2F4d%2F1&s=80,GET,False,False,,https://www.plex.tv/,parser,,False,MD5,URI,EMAIL,plex.tv,gravatar.com,https://www.plex.tv/,,,https://www.plex.tv/,_gcl_au=1.1.1374226925.1686936575; _rdt_uuid=1686936575627.4ede2725-9530-4d92-b52d-d93ac079e10b; _fbp=fb.1.1686936575772.362587167; _gid=GA1.2.1667601671.1686936576; afUserId=57b7dc34-3bd9-42ec-90c9-4940b9877092-p; AF_SYNC=1686936579810; fbm_1405987639482438=base_domain=.plex.tv; fbsr_1405987639482438=-x_sbi-QILUBrbvuyP_-ank0SST4m61he_3PwgNIlu0.eyJ1c2VyX2lkIjoiMTE4OTI2ODA0NTYxMjc5IiwiY29kZSI6IkFRRFFJWERyNmh4eTEtdS1BSmhvQTdsb2RyN0hYSlA1YU02dnY3QXowWEF6YmFKbnJrTTZYaGE0S2tseUU0OGs1dFFOZDgwcVJ1cW52d1llQUZleVNmMmdHcWp5d1pCRkEyS1BDc3E3emtzSzlROWZHTTBSblNaTWdCYWM2Tkxna2dmU3o5dWRWYmUyY05tYWQyZDRoTkQxX2pNSEFFRjJ0NnlMSGhPZFdkSjVlWjRyQVlwLVF0Z0xrVVVQY3Q0N3pxa1hZQkhVZ2l6NUwtamZtRGRLVGF6V1I5WTB5SnRhdHJIbHJFWWh5aUR4aVZERnVaTnFxaHdZQzZXTG9wd1BmTUJyQzdwZVNfMHFKOUhXVE02elRWTEQ3OXpRb1k1U3FNYmNlQkRVYnlubG04Qm5QcnNDVWtkNzN4QkZTWndNVV9nbXFqb0tBQ1ZTbmRFbTdONFZrRTVLIiwiYWxnb3JpdGhtIjoiSE1BQy1TSEEyNTYiLCJpc3N1ZWRfYXQiOjE2ODY5MzY2MTh9; plex_tv_auth=%7B%22email%22%3A%22hattori.mina%40proton.me%22%2C%22joined_at%22%3A%222023-06-16T17%3A30%3A19Z%22%2C%22username%22%3A%22minamotohattori%22%2C%22thumb%22%3A%22https%3A%2F%2Fplex.tv%2Fusers%2F5ba55990156c80b6%2Favatar%3Fc%3D1686936619%22%2C%22title%22%3A%22Minamoto+Hattori%22%2C%22roles%22%3A%5B%5D%2C%22subscription%22%3A%7B%22active%22%3Afalse%2C%22status%22%3A%22Inactive%22%2C%22plan%22%3Anull%7D%2C%22authentication_token%22%3A%22aVssYmxMx6PTs1bfyoGr%22%7D; _ga_G6FQWNSENB=GS1.1.1686936575.1.1.1686936623.12.0.0; _ga_WVSCQW4NQZ=GS1.1.1686936575.1.1.1686936623.0.0.0; _ga=GA1.2.1959758406.1686936575; _plex_tv_auth_sync=eyJob3N0Ijoid3d3LnBsZXgudHYiLCJzaWduZWRJbiI6dHJ1ZSwidG9rZW4iOiJhVnNzWW14TXg2UFRzMWJmeW9HciJ9; _my-plex_session_32=U1ZGRnBST3lqQlpmRm1RVWJ3bmovODBPNW8rTVV1L0h2Mk9qeThEVTE4Qnp2Nm9WL3NrKzFIVWpWREg0aWNaU1dPeFl4SEZON0NlakxZbWNnb3hqc3I2M2VqNXR1MCtRUDZoWEJmbzJiRGkwMmdLT20rRWhoUnl1dEtaT2FWQURKQ2JiZGFFb0plWm9MeDlWeVNhZ1FwKzRZOUR0L3h3cVd0SDlEdFZpVE52bFFVRExxN2tCaFZlbkNoblh0L2p1cnk5TWRKZ3FobWd5dlI3T2RHMWErTUhzemNVN24vZGk0MVozdUJKSjcyb0lCT1p0cHBvVXFnUW9oMXYxakRyZy0tRUJMZDhJZURyeUQycFlHR1hLSXhkQT09--b72ba3fe34f0d2549712fdc6439f715bc3898cc6
2536,3322,183076.495,https://api.rlcdn.com/api/identity/v2/envelope?pid=115&it=4&iv=4e702dcf4ba0ac495bc6257865c573e25e96c78db7a468b5da1e9a456e6eea66&it=4&iv=0a523328bd88036249c5c96b04491ffe1aaea687&it=4&iv=6fc55d1445a6b8724cb1ad5f5ff66c49,GET,False,True,,https://ats-wrapper.privacymanager.io/ats-modules/f4105e35-d596-4694-b9a4-ed81ae9873a1/ats.js,script,ie,False,MD5,URI,EMAIL,oregonlive.com,rlcdn.com,https://www.oregonlive.com/,,,https://www.oregonlive.com/,
