no,id_site,id_request,http_request,method,easylist,privacylist,postData,initiator_url,initiator_type,initiator_function,is_st_party,encoding_form,leakage_method,pii_type,st_domain,thrd_domain,referer,authorization,cookies,referer_extra,cookies_extra
0,341,14266.39,https://profiles.publicmediasignin.org/widget/unique.jsonp?js_version=d445bf4&capture_screen=socialRegistration&flow=NPR&client_id=9wpngvsrb5wa5k5n8vny9rhwqfp2aeyn&redirect_uri=https%3A%2F%2Flogin.publicmediasignin.org%2Ff29e2df8-7cf0-4741-939b-dc9e9555f527%2Fauth-ui%2Fv2%2Flogin%3F__aic_csrf%3D55DhE7K99JxNJQen%26client_id%3D00ac4575-e809-4694-bb71-93b9d9ebb2f3%26code_challenge%3DLg80HePGLpGrEAEbWT7J2a8Xa6yo0JNxd4QMmW5xKhc%26code_challenge_method%3DS256%26redirect_uri%3Dhttps%253A%252F%252Fauthorization.api.npr.org%252Fv2%252Flogin%252Fsuccess%26response_type%3Dcode%26scope%3Dopenid%2Bemail%2Bprofile%26state%3D785064449%253A1427242010%26socialRedirect%3DTrue%23transactionId%3Dbdvjdn5sgmqoty1rmmsoeh109zrc2fmllx69ed76%26engageToken%3D38bb1bc7b3730e486ac4356249531b6200d4042b&response_type=token&flow_version=20230410114333247954&settings_version=&locale=en-US&value=hattori.mina%40proton.me&form=socialRegistrationForm&field=emailAddress,GET,False,False,,https://widget-cdn.janraincapture.com/manifest/login,script,load,False,PLAINTEXT,URI,EMAIL,npr.org,publicmediasignin.org,https://login.publicmediasignin.org/,,,https://login.publicmediasignin.org/,_ga=GA1.2.1376259516.1686848005; _gid=GA1.2.562676626.1686848005; _gat_gtag_UA_5828686_4=1; expected_tab=facebook; welcome_info_name=Minamoto%20Hattori
3,887,82306.508,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,GET,False,False,,https://public.profitwell.com/js/profitwell.js?auth=6ca61ceeee8bf5751e13d633b3d1c24c,script,anonymous,False,PLAINTEXT,URI,EMAIL,meetup.com,profitwell.com,https://www.meetup.com/,6ca61ceeee8bf5751e13d633b3d1c24c,,https://www.meetup.com/,
4,887,2974D2B9684B566DA14EBF8DE62C355A,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,OPTIONS,False,False,,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,preflight,,False,PLAINTEXT,URI,EMAIL,meetup.com,profitwell.com,,,,https://www.meetup.com/,
5,887,82306.928,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,GET,False,False,,https://public.profitwell.com/js/profitwell.js?auth=6ca61ceeee8bf5751e13d633b3d1c24c,script,anonymous,False,PLAINTEXT,URI,EMAIL,meetup.com,profitwell.com,https://www.meetup.com/,6ca61ceeee8bf5751e13d633b3d1c24c,,https://www.meetup.com/,
6,1038,43948.155,https://backend.getbeamer.com/numberFeatures?url=hpanel.hostinger.com&product=fWVryxzM41160&v=1&language=EN&role=hostinger.com%3B2023-06%3B&user_id=fb88c8ee-c03b-453f-9ad7-4f7ab834c788&custom_user_id=38299395&email=hattori.mina%40proton.me,GET,False,False,,https://hpanel-shared.hostinger.com/js/app.js,script,anonymous,False,PLAINTEXT,URI,EMAIL,hostinger.com,getbeamer.com,https://hpanel.hostinger.com/,,,https://hpanel.hostinger.com/,
7,1985,175948.926,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,GET,False,False,,https://public.profitwell.com/js/profitwell.js?auth=08337ccb24b80acaca61c9bbe7083d6b,script,anonymous,False,PLAINTEXT,URI,EMAIL,vecteezy.com,profitwell.com,https://www.vecteezy.com/,08337ccb24b80acaca61c9bbe7083d6b,,https://www.vecteezy.com/,
8,1985,DD0ECFD574C261E415E96C72E905BE7C,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,OPTIONS,False,False,,https://www2.profitwell.com/dotjs/v1/quests/customer/?user_email=hattori.mina%40proton.me&custom_styles=%7B%7D,preflight,,False,PLAINTEXT,URI,EMAIL,vecteezy.com,profitwell.com,,,,https://www.vecteezy.com/,
9,1985,175948.934,https://track.hubspot.com/__ptq.gif?k=1&sd=1920x1080&cd=24-bit&cs=UTF-8&ln=en-us&bfp=518238404&v=1.1&a=20427473&rcu=https%3A%2F%2Fwww.vecteezy.com%2F&pu=https%3A%2F%2Fwww.vecteezy.com%2F&t=Download+Free+Vectors%2C+Images%2C+Stock+Photos+%26+Stock+Videos&cts=1686908213974&i=email%3Dhattori.mina%2540proton.me%26firstname%3Dminamoto%26lastname%3Dhattori%26country%3DJP%26cloudflare_country%3DJP%26pro_status%3D%26user_survey%3D%26team_seats%3D0%26multiple_logins%3D0%26team_owner_email%3Dnull&vi=5d37a7ad9776cf634eb1e21a064c2fc1&nc=true&ce=false&cc=0,GET,False,True,,,other,,False,PLAINTEXT,URI,EMAIL,vecteezy.com,hubspot.com,https://www.vecteezy.com/,,,https://www.vecteezy.com/,
13,2158,169065.1022,https://bat.bing.com/action/0?ti=13001299&tm=gtm002&Ver=2&mid=dfd62e7b-fbeb-4ed5-8acf-d1b5f729987e&sid=db61aa20092611eea55c73ad00f21591&vid=db61cc30092611eea32969cdfd0a1097&vids=0&msclkid=N&pi=918639831&lg=en-US&sw=1920&sh=1080&sc=24&tl=Create%20New%20Account%20%7C%20Made-in-China.com&p=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&r=https%3A%2F%2Flogin.made-in-china.com%2Fsign-in%2F%3FbaseNextPage%3Dhttps%253A%252F%252Fwww.made-in-china.com%252F&lt=1786&evt=pageLoad&sv=1&rn=111640,GET,False,True,,,other,,False,PLAINTEXT,URI,EMAIL,made-in-china.com,bing.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,MUID=097D3EBA171E600116232D9416F461BF; MR=0
22,2158,169065.1151,https://bat.bing.com/action/0?ti=13001299&tm=gtm002&Ver=2&mid=fa44840d-328a-454a-a594-2a689728ef4d&sid=db61aa20092611eea55c73ad00f21591&vid=db61cc30092611eea32969cdfd0a1097&vids=0&msclkid=N&pi=918639831&lg=en-US&sw=1920&sh=1080&sc=24&tl=Sign%20In%20%7C%20Made-in-China.com&p=https%3A%2F%2Flogin.made-in-china.com%2Fsocialization.do%3Fxcase%3DsuccessFollow%26socialWebsite%3DFacebook%26contactNextUrl%3Dhttps%253A%252F%252Flogin.made-in-china.com%252Fsign-in%252F%253FbaseNextPage%253Dhttps%25253A%25252F%25252Fwww.made-in-china.com%25252F%26firstTimeLogin%3Dtrue&r=https%3A%2F%2Flogin.made-in-china.com%2Fjoin-sns%2F%3Fflag%3D0%26socialWebsite%3DFacebook%26key%3D113683345085625%26name%3DMinamoto%2520Hattori%26firstName%3DMinamoto%26lastName%3DHattori%26email%3Dhattori.mina%2540proton.me%26baseNextPage%3Dhttps%25253A%25252F%25252Flogin.made-in-china.com%25252Fsign-in%25252F%25253FbaseNextPage%25253Dhttps%2525253A%2525252F%2525252Fwww.made-in-china.com%2525252F&lt=1964&evt=pageLoad&sv=1&rn=972534,GET,False,True,,,other,,False,PLAINTEXT,URI,EMAIL,made-in-china.com,bing.com,https://login.made-in-china.com/,,,https://login.made-in-china.com/,MUID=097D3EBA171E600116232D9416F461BF; MR=0
